,State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,
76,andaman-&-nicobar-islands,2019,4,744211,1596,7908264.722,"insert into top_trans values (76,'andaman-&-nicobar-islands',2019,4,744211,1596,7908264.72191866);"
77,andaman-&-nicobar-islands,2019,4,744301,1549,7056478.929,"insert into top_trans values (77,'andaman-&-nicobar-islands',2019,4,744301,1549,7056478.92883871);"
78,andaman-&-nicobar-islands,2019,4,744201,886,946768.0636,"insert into top_trans values (78,'andaman-&-nicobar-islands',2019,4,744201,886,946768.063647898);"
79,andaman-&-nicobar-islands,2019,4,744107,777,3030368.912,"insert into top_trans values (79,'andaman-&-nicobar-islands',2019,4,744107,777,3030368.91190045);"
80,andaman-&-nicobar-islands,2020,1,744101,11793,58229349.02,"insert into top_trans values (80,'andaman-&-nicobar-islands',2020,1,744101,11793,58229349.0241523);"
81,andaman-&-nicobar-islands,2020,1,744103,5870,22009443.07,"insert into top_trans values (81,'andaman-&-nicobar-islands',2020,1,744103,5870,22009443.0730539);"
82,andaman-&-nicobar-islands,2020,1,744105,4635,16774043.31,"insert into top_trans values (82,'andaman-&-nicobar-islands',2020,1,744105,4635,16774043.3119879);"
83,andaman-&-nicobar-islands,2020,1,744102,3820,14517706.12,"insert into top_trans values (83,'andaman-&-nicobar-islands',2020,1,744102,3820,14517706.1226967);"
84,andaman-&-nicobar-islands,2020,1,744211,1837,8425387.79,"insert into top_trans values (84,'andaman-&-nicobar-islands',2020,1,744211,1837,8425387.79004211);"
85,andaman-&-nicobar-islands,2020,1,744301,1819,6901162.108,"insert into top_trans values (85,'andaman-&-nicobar-islands',2020,1,744301,1819,6901162.10751958);"
86,andaman-&-nicobar-islands,2020,1,744202,1794,5037742.396,"insert into top_trans values (86,'andaman-&-nicobar-islands',2020,1,744202,1794,5037742.39557902);"
87,andaman-&-nicobar-islands,2020,1,744104,1302,5293130.291,"insert into top_trans values (87,'andaman-&-nicobar-islands',2020,1,744104,1302,5293130.29063395);"
88,andaman-&-nicobar-islands,2020,1,744201,1157,1242638.821,"insert into top_trans values (88,'andaman-&-nicobar-islands',2020,1,744201,1157,1242638.82125293);"
89,andaman-&-nicobar-islands,2020,1,744107,1043,2990354.445,"insert into top_trans values (89,'andaman-&-nicobar-islands',2020,1,744107,1043,2990354.44485474);"
90,andaman-&-nicobar-islands,2020,2,744101,11868,48293323.22,"insert into top_trans values (90,'andaman-&-nicobar-islands',2020,2,744101,11868,48293323.2185196);"
91,andaman-&-nicobar-islands,2020,2,744103,10035,26197535.99,"insert into top_trans values (91,'andaman-&-nicobar-islands',2020,2,744103,10035,26197535.9894515);"
92,andaman-&-nicobar-islands,2020,2,744105,9341,23203019.86,"insert into top_trans values (92,'andaman-&-nicobar-islands',2020,2,744105,9341,23203019.8589806);"
93,andaman-&-nicobar-islands,2020,2,744102,6012,17786750.91,"insert into top_trans values (93,'andaman-&-nicobar-islands',2020,2,744102,6012,17786750.9075158);"
94,andaman-&-nicobar-islands,2020,2,744202,3722,8924121.011,"insert into top_trans values (94,'andaman-&-nicobar-islands',2020,2,744202,3722,8924121.01076256);"
95,andaman-&-nicobar-islands,2020,2,744107,2555,3980470.685,"insert into top_trans values (95,'andaman-&-nicobar-islands',2020,2,744107,2555,3980470.68536981);"
96,andaman-&-nicobar-islands,2020,2,744301,2275,9055232.528,"insert into top_trans values (96,'andaman-&-nicobar-islands',2020,2,744301,2275,9055232.52775556);"
97,andaman-&-nicobar-islands,2020,2,744211,2045,3319717.633,"insert into top_trans values (97,'andaman-&-nicobar-islands',2020,2,744211,2045,3319717.63287897);"
98,andaman-&-nicobar-islands,2020,2,744205,1847,4459064.907,"insert into top_trans values (98,'andaman-&-nicobar-islands',2020,2,744205,1847,4459064.90732021);"
99,andaman-&-nicobar-islands,2020,2,744104,1840,3334591.822,"insert into top_trans values (99,'andaman-&-nicobar-islands',2020,2,744104,1840,3334591.82230493);"
100,andaman-&-nicobar-islands,2020,3,744101,24386,100439119.7,"insert into top_trans values (100,'andaman-&-nicobar-islands',2020,3,744101,24386,100439119.668607);"
101,andaman-&-nicobar-islands,2020,3,744103,21272,60332278.69,"insert into top_trans values (101,'andaman-&-nicobar-islands',2020,3,744103,21272,60332278.693968);"
102,andaman-&-nicobar-islands,2020,3,744105,17166,44061506.56,"insert into top_trans values (102,'andaman-&-nicobar-islands',2020,3,744105,17166,44061506.5627358);"
